latitude;longitude
54.542216;17.744535
54.542327;17.744394
54.542416;17.744283
54.542536;17.744132
54.542623;17.744003
54.542732;17.744008
54.542822;17.743973
54.542945;17.743949
54.543123;17.743982
54.543262;17.744083
54.543331;17.744194
54.543432;17.744017
54.543524;17.743857
54.543633;17.743647
54.543694;17.743531
54.543807;17.743311
54.543914;17.743098
54.543961;17.742838
54.543961;17.742683
54.543957;17.742504
54.543944;17.742309
54.543938;17.742109
54.543934;17.741900
54.543931;17.741685
54.543931;17.741462
54.543932;17.741236
54.543936;17.741008
54.543938;17.740780
54.543940;17.740556
54.543941;17.740341
54.543936;17.740133
54.543928;17.739932
54.543922;17.739739
54.543939;17.739543
54.543972;17.739348
54.544019;17.739151
54.544068;17.738948
54.544125;17.738743
54.544176;17.738528
54.544230;17.738312
54.544283;17.738096
54.544349;17.737894
54.544405;17.737685
54.544460;17.737484
54.544516;17.737279
54.544569;17.737090
54.544620;17.736889
54.544656;17.736686
54.544683;17.736484
54.544701;17.736287
54.544715;17.736102
54.544723;17.735930
54.544730;17.735761
54.544742;17.735473
54.544752;17.735249
54.544759;17.735072
54.544770;17.734838
54.544780;17.734626
54.544799;17.734324
54.544812;17.734150
54.544828;17.733947
54.544842;17.733733
54.544862;17.733500
54.544884;17.733249
54.544905;17.733000
54.544931;17.732766
54.544952;17.732563
54.544971;17.732394
54.544992;17.732154
54.545025;17.731951
54.545052;17.731686
54.545069;17.731519
54.545087;17.731327
54.545107;17.731126
54.545126;17.730921
54.545146;17.730697
54.545167;17.730465
54.545188;17.730218
54.545212;17.729962
54.545234;17.729695
54.545259;17.729429
54.545284;17.729165
54.545307;17.728900
54.545329;17.728639
54.545349;17.728379
54.545372;17.728123
54.545395;17.727872
54.545419;17.727620
54.545444;17.727360
54.545485;17.727105
54.545497;17.726840
54.545521;17.726575
54.545565;17.726312
54.545607;17.726040
54.545635;17.725759
54.545663;17.725483
54.545677;17.725193
54.545706;17.724897
54.545738;17.724604
54.545772;17.724309
54.545803;17.724018
54.545832;17.723735
54.545866;17.723459
54.545897;17.723192
54.545925;17.722941
54.545933;17.722712
54.545954;17.722501
54.545972;17.722323
54.545995;17.722064
54.546014;17.721858
54.546036;17.721677
54.546257;17.721756
54.546375;17.721801
54.546481;17.721859
54.546585;17.721915
54.546695;17.721970
54.546799;17.722060
54.546862;17.721944
54.546769;17.721924
54.546695;17.721788
